sampleId,altitudeGeometricDeg,compoundId,kAbsDir,contributionWeightedMeanWavelengthNm,lambda25Nm,lambda50Nm,lambda75Nm,peakContributionWavelengthNm,peakSpectralContribution
ALT010,10.001182049917452,benzophenone,0.000034218216885505523,370.9326773175703,357,372,387,400,1.055717362270311e-06
ALT010,10.001182049917452,luteolin,0.00273907381397627,367.42291073175033,356,368,379,370,7.731431713021396e-05
ALT010,10.001182049917452,quercetin,0.006799941441918241,378.48100808454836,369,380,390,391,0.00021911443011739267
ALT015,15.000790932182012,benzophenone,0.0001630843835119834,365.48910973722076,350,366,381,400,3.5017814000329847e-06
ALT015,15.000790932182012,luteolin,0.01335819328742525,363.5889859248009,352,365,376,366,0.00035818797147362647
ALT015,15.000790932182012,quercetin,0.02864824940203051,375.5807303169333,366,378,388,378,0.0008881840212136986
ALT020,19.999186151821025,benzophenone,0.00037852516322497135,362.1742106425742,346,362,379,367,7.190354476992325e-06
ALT020,19.999186151821025,luteolin,0.03105541159981068,361.2699918250278,349,363,374,366,0.00079791779786179
ALT020,19.999186151821025,quercetin,0.06123881164052609,373.74067702456733,364,376,387,378,0.0018393863396685619
ALT025,25.001405046352847,benzophenone,0.0006386708210637164,359.95182467154507,343,360,376,355,1.173958571343896e-05
ALT025,25.001405046352847,luteolin,0.05221387301645175,359.71292907542005,347,361,372,366,0.001293906631933385
ALT025,25.001405046352847,quercetin,0.09755299790799354,372.4663820870193,362,375,386,378,0.0028542933169279877
ALT030,29.998839892953647,benzophenone,0.0009095214830453516,358.3590573332807,342,358,375,355,1.667427390378907e-05
ALT030,29.998839892953647,luteolin,0.07400788501124711,358.59692995881846,346,360,372,366,0.0017814987427283463
ALT030,29.998839892953647,quercetin,0.13321372423952849,371.53366489962673,361,374,385,378,0.003817099699125473
ALT035,34.99963864245642,benzophenone,0.001171662935643833,357.15954897148237,340,356,373,355,2.1349733013689892e-05
ALT035,34.99963864245642,luteolin,0.094888031580766,357.75901408232346,345,359,371,366,0.002231584721130088
ALT035,34.99963864245642,quercetin,0.166232009874174,370.8228877313162,360,373,385,378,0.004684384169562605
ALT040,39.99845170100691,benzophenone,0.0014145443090696683,356.22667646719793,339,355,372,355,2.5593997917531047e-05
ALT040,39.99845170100691,luteolin,0.11405472723331941,357.1112128749192,344,358,370,366,0.0026325531047403004
ALT040,39.99845170100691,quercetin,0.19578007702656047,370.2673955828274,359,373,385,378,0.005443535593165696
ALT045,44.99911630799587,benzophenone,0.0016336736081720015,355.48408287678023,339,354,371,355,2.935202049615879e-05
ALT045,44.99911630799587,luteolin,0.13120119362408958,356.5997618960346,343,357,370,366,0.0029826447814039615
ALT045,44.99911630799587,quercetin,0.2217044116755056,369.82526467608585,359,372,384,378,0.0060977214457611645
ALT050,50.000203109933715,benzophenone,0.001827323628891554,354.88489907868865,338,354,371,355,3.261758684104997e-05
ALT050,50.000203109933715,luteolin,0.14623815572909085,356.1910905926947,343,357,370,366,0.003283623774626732
ALT050,50.000203109933715,quercetin,0.24409676369506472,369.46980868508615,358,372,384,378,0.006654530876504381
ALT055,55.00101284810292,benzophenone,0.0019953687936896227,354.3984744991277,337,353,370,355,3.540946333842723e-05
ALT055,55.00101284810292,luteolin,0.15919720765077233,355.8628193109917,342,356,370,366,0.003538821108963594
ALT055,55.00101284810292,quercetin,0.2631649197836735,369.1829367881733,357,372,384,378,0.007122997200279866
ALT060,60.00047264490053,benzophenone,0.0021384157486662855,354.00421576273004,337,353,370,355,3.775539201406827e-05
ALT060,60.00047264490053,luteolin,0.17016112294340485,355.5995894980218,342,356,369,366,0.003751874400353605
ALT060,60.00047264490053,quercetin,0.27914489444706336,368.95206867647096,357,371,384,378,0.007511740989189452
ALT065,64.99985258336585,benzophenone,0.0022574221269563493,353.6878114128811,336,352,370,355,3.968556032732671e-05
ALT065,64.99985258336585,luteolin,0.17923388743041174,355.39050405386763,342,356,369,366,0.003926288805554514
ALT065,64.99985258336585,quercetin,0.2922696917847772,368.76817691903733,357,371,383,378,0.007828487354310907
ALTMAX,67.21901753116117,benzophenone,0.0023028066742844314,353.5696188503151,336,352,370,355,4.041651468970382e-05
ALTMAX,67.21901753116117,luteolin,0.18268205787488667,355.3129503726868,342,356,369,366,0.0039921440315949
ALTMAX,67.21901753116117,quercetin,0.2972356447469008,368.69985599798775,357,371,383,378,0.007947753615144548
