conditionId,localDateTimeKst,utcDateTime,latitudeDeg,longitudeDeg,observerAltitudeM,source,target,ephemerisAzimuthDeg,ephemerisElevationDeg,ephemerisElevationConvention,ephemerisDistanceAu,rightAscensionDeg,declinationDeg,ephemerisElevationAirlessDeg,ephemerisAzimuthAirlessDeg,stellariumAltitudeGeometricDeg,stellariumAltitudeApparentDeg,stellariumAzimuthDeg,stellariumDistanceAu,deltaAltitudeApparentDeg,deltaAltitudeGeometricDeg,deltaAzimuthDeg,deltaDistanceAu,comparisonStatus,notes
ALT010,2026-08-13T06:43:48+09:00,2026-08-12T21:43:48.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),79.013864,10.091353,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01325585163,142.52939,14.80314,10.001203,79.013864,10.001182049917452,10.090030468592033,79.0138199543278,1.0132568418404548,0.001323,0.000021,0.000044,-0.00000099021,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT015,2026-08-13T07:09:20+09:00,2026-08-12T22:09:20.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),82.724993,15.062084,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01324917274,142.56962,14.78001,15.000806,82.724993,15.000790932182012,15.061184308772509,82.72495351001035,1.013250163297285,0.000900,0.000015,0.000039,-0.00000099056,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT020,2026-08-13T07:34:39+09:00,2026-08-12T22:34:39.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),86.431854,20.044916,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01324260290,142.59902,14.76537,19.999195,86.431854,19.999186151821025,20.04424666074759,86.43181781311486,1.013243593843966,0.000669,0.000009,0.000036,-0.00000099094,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT025,2026-08-13T07:59:53+09:00,2026-08-12T22:59:53.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),90.215225,25.037334,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01323614979,142.62371,14.75440,25.001409,90.215225,25.001405046352847,25.036811605904877,90.21519310827294,1.0132371411421537,0.000522,0.000004,0.000032,-0.00000099135,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT030,2026-08-13T08:25:06+09:00,2026-08-12T23:25:06.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),94.156401,30.027971,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01322983750,142.64596,14.74534,29.998838,94.156401,29.998839892953647,30.02755236556808,94.1563730851938,1.0132308293047128,0.000419,-0.000002,0.000028,-0.00000099180,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT035,2026-08-13T08:50:28+09:00,2026-08-12T23:50:28.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),98.371400,35.023712,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01322366583,142.66689,14.73736,34.999631,98.371400,34.99963864245642,35.023371704047285,98.37137685462622,1.0132246581200146,0.000340,-0.000008,0.000023,-0.00000099229,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT040,2026-08-13T09:16:07+09:00,2026-08-13T00:16:07.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),103.004611,40.018570,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01321764613,142.68712,14.73003,39.998440,103.004611,39.99845170100691,40.01829082573687,103.00459262771219,1.013218638937792,0.000279,-0.000012,0.000018,-0.00000099281,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT045,2026-08-13T09:42:18+09:00,2026-08-13T00:42:18.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),108.279276,45.016011,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01321176864,142.70712,14.72306,44.999100,108.279276,44.99911630799587,45.015783183794014,108.27926354843738,1.0132127620111389,0.000228,-0.000016,0.000012,-0.00000099337,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT050,2026-08-13T10:09:23+09:00,2026-08-13T01:09:23.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),114.550201,50.014386,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01320601120,142.72732,14.71623,50.000184,114.550201,50.000203109933715,50.0142004760543,114.55019510381517,1.013207005179701,0.000186,-0.000019,0.000006,-0.00000099398,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
ALT055,2026-08-13T10:38:04+09:00,2026-08-13T01:38:04.000Z,37.456459045410156,126.70514678955078,43,NASA/JPL Horizons,Sun (10),122.466504,55.012851,"apparent, refracted (Horizons APPARENT=REFRACTED; topocentric; light-time+aberration+precession/nutation+atmospheric refraction)",1.01320030930,142.74835,14.70931,55.000991,122.466504,55.00101284810292,55.01270117297737,122.46650925247964,1.0132013039445642,0.000150,-0.000022,-0.000005,-0.00000099465,COMPARABLE_MATCHING_CONVENTION,"ephemerisElevationDeg/Azimuth use Horizons REFRACTED mode, compared to stellariumAltitudeApparentDeg. ephemerisElevationAirlessDeg/AzimuthAirlessDeg use Horizons AIRLESS mode, compared to stellariumAltitudeGeometricDeg/stellariumAzimuthDeg (azimuth is refraction-invariant)."
