sampleId,wavelengthNm,qDir
ALT010,290,4.884839663742862e-17
ALT010,291,1.4924170683715836e-13
ALT010,292,1.7604791254741873e-10
ALT010,293,1.0382051316225857e-8
ALT010,294,0.000004440351185366601
ALT010,295,0.0001924556329872873
ALT010,296,0.021382970658454552
ALT010,297,0.3021615282693406
ALT010,298,10.809229162630274
ALT010,299,97.83374735860964
ALT010,300,1177.5600668134978
ALT010,301,13450.134042305237
ALT010,302,60764.31793756794
ALT010,303,484797.17686109163
ALT010,304,1395238.6214802812
ALT010,305,8327006.74301541
ALT010,306,17607967.500686422
ALT010,307,44799077.763979
ALT010,308,126169172.02746795
ALT010,309,201833536.5330539
ALT010,310,457985289.9554347
ALT010,311,1029458738.03096
ALT010,312,1743707285.034666
ALT010,313,2871627127.5093617
ALT010,314,3666587054.970469
ALT010,315,6377890450.663409
ALT010,316,6595662376.510654
ALT010,317,12228832735.207705
ALT010,318,14071095051.513708
ALT010,319,22603626196.74379
ALT010,320,20775301023.37367
ALT010,321,37291755966.17097
ALT010,322,32847908813.53941
ALT010,323,34216201457.614902
ALT010,324,62028900717.02733
ALT010,325,53498123354.9971
ALT010,326,93589914285.2162
ALT010,327,117632991655.09393
ALT010,328,91170466860.76993
ALT010,329,140859874478.87747
ALT010,330,177082881183.71936
ALT010,331,149344179512.62152
ALT010,332,180913480807.72318
ALT010,333,194313866735.62357
ALT010,334,187151567002.36105
ALT010,335,238266310862.48605
ALT010,336,230313274815.683
ALT010,337,217232546169.07324
ALT010,338,263781667414.28046
ALT010,339,305597300772.7623
ALT010,340,347971602628.2494
ALT010,341,344981129497.72015
ALT010,342,381521109543.5181
ALT010,343,422106586063.8007
ALT010,344,354808702582.51697
ALT010,345,415431837977.85175
ALT010,346,455537916763.6384
ALT010,347,496888145972.69604
ALT010,348,500758585476.14124
ALT010,349,515914355722.4722
ALT010,350,612219026781.0557
ALT010,351,671884662664.2388
ALT010,352,657935460847.893
ALT010,353,692698310153.7621
ALT010,354,845339864552.3854
ALT010,355,892817421956.5457
ALT010,356,843460826133.5754
ALT010,357,726906737885.1075
ALT010,358,715323908956.5359
ALT010,359,815720580880.7568
ALT010,360,1083713180431.5127
ALT010,361,981937389634.9126
ALT010,362,1046335659121.0801
ALT010,363,1223707356743.3862
ALT010,364,1280032509954.4001
ALT010,365,1368626036301.9236
ALT010,366,1675713807370.316
ALT010,367,1710873023615.745
ALT010,368,1641842379461.7842
ALT010,369,1766903224433.7048
ALT010,370,1994147062359.9492
ALT010,371,1896754889575.8018
ALT010,372,1913300425797.8206
ALT010,373,1817222793063.2024
ALT010,374,1690689697691.7024
ALT010,375,1852766705537.0369
ALT010,376,2197010718477.0886
ALT010,377,2398143216226.0327
ALT010,378,2980834011616.3833
ALT010,379,2681288988392.73
ALT010,380,2613337997609.751
ALT010,381,2937592069479.6875
ALT010,382,2326111055706.1455
ALT010,383,1858652200922.1438
ALT010,384,2146899848581.7637
ALT010,385,2924029280287.307
ALT010,386,2775974703361.6426
ALT010,387,2999479890410.3403
ALT010,388,3015344517256.044
ALT010,389,3346398688828.1147
ALT010,390,4003789023427.48
ALT010,391,4400430364079.885
ALT010,392,4228635894740.115
ALT010,393,2622009421546.634
ALT010,394,2783903967575.816
ALT010,395,4661797484830.898
ALT010,396,4488070941574.001
ALT010,397,2594195592491.0195
ALT010,398,5333632572584.607
ALT010,399,6859830627851.374
ALT010,400,7341215909211.999
ALT015,290,4.0758089627299735e-8
ALT015,291,0.00001228418683957901
ALT015,292,0.0017908923133212263
ALT015,293,0.031595385925606054
ALT015,294,2.2965415304829047
ALT015,295,32.9739270918934
ALT015,296,948.1150584280675
ALT015,297,5857.8796533259965
ALT015,298,75840.1854624275
ALT015,299,348782.9489348344
ALT015,300,2010395.1028731454
ALT015,301,11301520.029756654
ALT015,302,32541774.40130026
ALT015,303,154817852.80414787
ALT015,304,328251076.3490875
ALT015,305,1173005320.8035586
ALT015,306,1918087608.6662352
ALT015,307,3786235920.3928204
ALT015,308,8021505508.660766
ALT015,309,10833680293.851871
ALT015,310,18861743762.711662
ALT015,311,37110674677.861755
ALT015,312,52656957347.337036
ALT015,313,74511752708.28534
ALT015,314,89343945039.56833
ALT015,315,130319116959.86736
ALT015,316,127476546865.451
ALT015,317,210902486108.9794
ALT015,318,231295360588.82922
ALT015,319,320920982662.83417
ALT015,320,310400170439.6507
ALT015,321,467638749934.10065
ALT015,322,422081820358.924
ALT015,323,418604681637.79785
ALT015,324,662445629415.6174
ALT015,325,616089117219.3964
ALT015,326,965753865807.3336
ALT015,327,1136793947544.2043
ALT015,328,934988976392.6136
ALT015,329,1289712276276.8257
ALT015,330,1560327197968.9712
ALT015,331,1337184136601.9404
ALT015,332,1531547946005.4915
ALT015,333,1596297376010.2988
ALT015,334,1549549480095.619
ALT015,335,1867299276335.5193
ALT015,336,1755965491325.4036
ALT015,337,1643021759141.5295
ALT015,338,1953246575498.2988
ALT015,339,2195853131583.9185
ALT015,340,2466542208106.2104
ALT015,341,2392178628362.4365
ALT015,342,2586728858427.2637
ALT015,343,2814380252341.2563
ALT015,344,2347648727755.1294
ALT015,345,2678013267881.4614
ALT015,346,2881757483802.9614
ALT015,347,3088744641261.2983
ALT015,348,3062096337976.4873
ALT015,349,3100768687053.2935
ALT015,350,3622425960946.7344
ALT015,351,3913133734181.6416
ALT015,352,3778204731514.9736
ALT015,353,3913096091695.234
ALT015,354,4701127093986.267
ALT015,355,4892892731554.226
ALT015,356,4554351931913.429
ALT015,357,3869570802134.9707
ALT015,358,3753302560775.3994
ALT015,359,4220112580602.8105
ALT015,360,5531168334382.203
ALT015,361,4942646013108.092
ALT015,362,5195440694180.946
ALT015,363,5995746930479.503
ALT015,364,6189962615651.508
ALT015,365,6533972676555.619
ALT015,366,7898141411118.786
ALT015,367,7962284588151.039
ALT015,368,7546492066309.343
